兑换码,奖励类型,奖励描述,Token数量,会员类型,会员天数,是否通用码,是否自定义,最大使用次数,已使用次数,状态,批次ID,批次备注,使用者ID,使用时间,过期时间,创建时间
WELC-OME2-026,Token,"50,000 Token",50000,,0,是,是,0,2,未使用,,,,,永久,2026/7/16 04:41:06
PW5V-2624-ZHSG,会员,年卡会员 365 天,0,year,365,否,否,0,0,已使用,batch_1784176099319_r0mu5z,,cmrmympyg0000nqkbdxbvtjwz,2026/7/16 04:29:08,永久,2026/7/16 04:28:19
CB6K-RGUA-DBJF,会员,年卡会员 365 天,0,year,365,否,否,0,0,未使用,batch_1784176099319_r0mu5z,,,,永久,2026/7/16 04:28:19
5D3U-3AL6-EKHW,会员,年卡会员 365 天,0,year,365,否,否,0,0,未使用,batch_1784176099319_r0mu5z,,,,永久,2026/7/16 04:28:19
UCDF-BU28-3TE9,会员,年卡会员 365 天,0,year,365,否,否,0,0,未使用,batch_1784176099319_r0mu5z,,,,永久,2026/7/16 04:28:19
F3MD-LDSM-SFM2,会员,年卡会员 365 天,0,year,365,否,否,0,0,未使用,batch_1784176099319_r0mu5z,,,,永久,2026/7/16 04:28:19
CMK7-EASM-48X5,Token,"50,000 Token",50000,,0,否,否,0,0,已使用,batch_1784176029704_2pahk0,,cmrmympyg0000nqkbdxbvtjwz,2026/7/16 04:28:54,永久,2026/7/16 04:27:09
A74V-TKMQ-UCXU,Token,"50,000 Token",50000,,0,否,否,0,0,已使用,batch_1784176029704_2pahk0,,cmrmympyg0000nqkbdxbvtjwz,2026/7/16 04:30:35,永久,2026/7/16 04:27:09
P83J-2VAM-YHRA,Token,"50,000 Token",50000,,0,否,否,0,0,未使用,batch_1784176029704_2pahk0,,,,永久,2026/7/16 04:27:09
7DGC-6ZDZ-NBEL,Token,"50,000 Token",50000,,0,否,否,0,0,未使用,batch_1784176029704_2pahk0,,,,永久,2026/7/16 04:27:09
YN8C-25WJ-B4U8,Token,"50,000 Token",50000,,0,否,否,0,0,未使用,batch_1784176029704_2pahk0,,,,永久,2026/7/16 04:27:09
LL4X-452M-QXSY,Token,"50,000 Token",50000,,0,否,否,0,0,未使用,batch_1784176029704_2pahk0,,,,永久,2026/7/16 04:27:09
SE5N-MP44-Z8U5,Token,"50,000 Token",50000,,0,否,否,0,0,未使用,batch_1784176029704_2pahk0,,,,永久,2026/7/16 04:27:09
SWFX-GVJV-Y33Q,Token,"50,000 Token",50000,,0,否,否,0,0,未使用,batch_1784176029704_2pahk0,,,,永久,2026/7/16 04:27:09
KR9B-WEKJ-NC8F,Token,"50,000 Token",50000,,0,否,否,0,0,未使用,batch_1784176029704_2pahk0,,,,永久,2026/7/16 04:27:09
4TF8-J3VE-F97H,Token,"50,000 Token",50000,,0,否,否,0,0,未使用,batch_1784176029704_2pahk0,,,,永久,2026/7/16 04:27:09